ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate
632,1.62,0.22,16431.21,4.21,1.61,7.43,湿渍
633,0.44,1.03,16390.02,2.32,3.33,6.28,湿渍
634,2.71,0.74,18892.58,3.17,4.7,5.88,湿渍
635,1.68,0.88,16734.08,6.49,7.95,7.48,湿渍
636,0.79,0.79,16349.14,7.46,8.3,0.66,湿渍
637,0.15,1.15,15947.1,6.51,6.57,4.49,滴水
638,3.18,1.21,17086.16,1.97,3.63,5.13,湿渍
639,3.11,0.99,12444.03,3.22,2.21,3.39,湿渍
640,0.7,0.16,15834.12,1.56,4.23,0.63,湿渍
641,2.77,0.64,12711.58,3.45,0.52,4.08,滴水
642,0.32,0.71,16623.19,4.28,3.67,4.34,湿渍
643,2.38,0.99,13412.01,2.13,1.06,1.5,湿渍
644,0.67,0.7,18220.69,5.17,9.54,6.94,湿渍
645,1.07,0.57,17072.27,8.44,12.02,11.33,湿渍
646,1.09,1.05,15628.71,0.92,2.6,4.74,滴水
647,1.18,0.67,17264.81,7.46,9.89,8.43,湿渍
648,1.73,1.11,17903.55,1.28,3.48,5.75,湿渍
649,1.17,1.04,14269.31,1.56,4.37,3.13,滴水
650,2.4,1.02,17145.67,1.6,1.16,4.78,湿渍
651,0.56,0.45,12887.22,3.19,6.51,1.27,湿渍
652,3.07,0.56,16309.54,1.01,4.57,0.88,滴水
653,0.89,0.93,16939.09,4.17,1.91,4.14,滴水
654,2.78,0.73,16687.11,1.57,3.18,3.95,湿渍
655,2.77,1.06,13117.49,6.93,3.27,4.87,湿渍
656,2.88,0.32,12155.24,2.05,6.62,0.91,湿渍
657,0.51,0.49,15268.51,2.25,3.01,7.8,湿渍
658,2.1,1.33,14744.38,2.76,4.63,2.43,滴水
659,0.87,0.99,12583.25,2.82,1.61,1.75,湿渍
660,1.08,0.57,16739.56,4.6,5.39,6.31,滴水
661,0.57,1.35,12839.58,7.28,5.47,3.53,湿渍
662,1.32,0.66,18599.14,7.22,9.87,1.41,湿渍
663,2.85,0.89,17559.84,3.93,2.79,5.37,湿渍
664,2.68,0.57,16238.2,2.26,3.9,2.03,滴水
665,1.15,0.56,13003.74,2.95,2.23,0.28,湿渍
666,2.13,0.71,15676.01,4.31,5.26,0.98,湿渍
667,1.04,0.96,15307.15,6.69,5.71,0.58,湿渍
668,1.54,0.46,14150.02,2.69,6.48,8.58,湿渍
669,1.02,0.33,17241.44,1.48,4.99,3.09,湿渍
670,3.06,1.08,12251.94,3.71,3.28,5.12,湿渍
671,0.38,0.62,18759.49,4.3,5.59,3.87,湿渍
672,0.68,0.3,16723.79,3.3,2.69,4.35,湿渍
673,1.35,0.31,15802.23,0.97,4.97,4.78,湿渍
674,1.62,1.02,16590.01,1.87,3.95,4.49,滴水
675,3.01,0.82,17905.47,2.18,3.23,3.48,湿渍
676,1.89,0.14,14769.13,2.43,7.38,8.3,湿渍
677,0.77,1.03,15300.54,2.28,2.8,4.77,滴水
678,2.55,1.42,12705.29,1.85,8.8,8.6,湿渍
679,1.36,0.64,13769.54,4.48,4.43,3.61,湿渍
680,1.43,0.79,13363.2,1.06,3.75,2.92,滴水
681,1.23,0.72,14785.97,1.65,2.2,4.49,湿渍
682,1.6,0.56,18208.67,3.49,3.73,5.0,湿渍
683,0.36,0.07,13859.49,1.06,2.18,0.94,湿渍
684,2.72,0.32,12207.56,3.69,1.08,5.4,湿渍
685,2.07,0.63,16896.63,2.38,10.48,1.17,湿渍
686,0.75,0.41,18550.47,0.94,2.84,0.78,湿渍
687,0.62,1.13,13788.31,1.72,4.71,6.25,湿渍
688,1.41,0.48,16801.23,0.51,4.55,6.14,湿渍
689,3.21,0.29,17600.97,3.82,2.61,1.27,湿渍
690,2.84,0.77,18240.56,2.39,0.49,3.94,湿渍
691,2.52,0.46,15987.52,4.14,4.55,2.63,湿渍
692,2.97,0.92,18524.37,2.12,3.05,1.73,滴水
693,1.73,0.18,14375.38,10.97,14.58,5.93,湿渍
694,0.48,1.19,13513.36,2.36,2.79,2.67,湿渍
695,2.96,0.61,15706.78,2.36,3.98,1.93,湿渍
696,0.79,0.72,16175.67,2.13,4.35,1.46,湿渍
697,2.03,0.83,13307.72,4.45,2.77,6.77,湿渍
698,1.12,0.29,13951.31,3.93,3.81,0.51,湿渍
699,2.91,0.58,13235.44,3.55,3.39,3.46,滴水
700,1.56,0.28,17400.91,0.56,3.94,0.28,湿渍
701,2.83,0.49,17337.53,2.0,2.53,5.73,湿渍
702,3.03,0.71,18609.16,1.3,0.98,4.98,滴水
703,1.45,0.56,17576.75,2.35,1.44,6.04,湿渍
704,1.39,0.75,16420.16,0.96,3.59,5.05,湿渍
705,1.77,0.81,17797.1,0.64,1.74,3.77,湿渍
706,1.44,0.45,13265.41,0.73,3.71,8.96,湿渍
707,0.66,0.48,12004.33,0.8,2.06,7.55,湿渍
708,1.41,0.79,12658.75,1.4,2.81,5.61,湿渍
709,2.13,0.44,12824.05,4.54,3.97,5.13,滴水
710,1.43,0.8,15770.73,11.27,7.41,12.26,湿渍
711,2.86,0.43,18914.11,3.94,5.09,3.2,湿渍
712,2.94,0.98,13456.55,4.06,3.5,1.52,滴水
713,1.21,0.69,15057.1,3.5,0.52,5.48,湿渍
714,1.02,0.93,13731.96,3.72,1.34,4.35,湿渍
715,1.98,1.05,16356.31,1.17,2.72,6.32,滴水
716,0.67,0.45,13346.34,3.09,5.22,8.52,湿渍
717,2.31,0.48,14153.54,4.23,2.05,4.39,湿渍
718,2.41,1.16,12376.81,0.98,5.7,2.25,滴水
719,2.65,0.49,17651.18,0.52,3.68,3.66,滴水
720,2.15,0.13,17180.47,7.54,6.93,4.13,滴水
721,1.55,0.5,15721.81,5.01,3.31,6.49,湿渍
722,2.86,0.32,18414.01,1.12,0.52,6.46,湿渍
723,0.9,0.27,13388.02,3.28,6.9,1.87,滴水
724,2.28,0.92,15066.78,7.47,5.58,2.01,湿渍
725,3.09,0.9,16859.72,3.89,0.43,3.08,湿渍
726,3.26,0.63,12578.85,6.17,4.63,6.52,滴水
727,1.16,0.92,13281.53,3.23,9.34,0.37,湿渍
728,2.52,0.86,14813.24,2.46,5.04,5.2,湿渍
729,2.06,0.94,17510.44,2.31,3.32,4.47,湿渍
730,2.94,0.13,16321.4,4.8,2.51,7.99,湿渍
731,0.5,1.25,15841.32,3.86,2.49,8.91,湿渍
